No.;Time;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter;;
225;30,863842;;30,863842;31,121945;50,88457;;70,647195;-70,647195;-141,29439;;
226;31,121945;;31,121945;31,121945;-19,762625;;-70,647195;70,646626;141,293821;;
227;31,121945;;31,121945;31,122514;50,88457;;70,646626;-70,646853;-141,293479;;
228;31,122514;;31,122514;31,122741;-19,762056;;-70,646853;70,646684;141,293537;;
229;31,122741;;31,122741;31,12291;50,884797;;70,646684;-70,646742;-141,293426;;
230;31,12291;;31,12291;31,122968;-19,761887;;-70,646742;70,540078;141,18682;;
231;31,122968;;31,122968;31,229632;50,884855;;70,540078;-70,540079;-141,080157;;
232;31,229632;;31,229632;31,229633;-19,655223;;-70,540079;70,54008;141,080159;;
233;31,229633;;31,229633;31,229632;50,884856;;70,54008;-70,540115;-141,080195;;
234;31,229632;;31,229632;31,229667;-19,655224;;-70,540115;70,302874;140,842989;;
235;31,229667;;31,229667;31,466908;50,884891;;70,302874;-70,308239;-140,611113;;
236;31,466908;;31,466908;31,472273;-19,417983;;-70,308239;70,308112;140,616351;;
237;31,472273;;31,472273;31,4724;50,890256;;70,308112;-70,308153;-140,616265;;
238;31,4724;;31,4724;31,472441;-19,417856;;-70,308153;70,307792;140,615945;;
239;31,472441;;31,472441;31,472802;50,890297;;70,307792;-70,325159;-140,632951;;
240;31,472802;;31,472802;31,490169;-19,417495;;-70,325159;70,324767;140,649926;;
241;31,490169;;31,490169;31,490561;50,907664;;70,324767;-70,324806;-140,649573;;
242;31,490561;;31,490561;31,4906;-19,417103;;-70,324806;70,323893;140,648699;;
243;31,4906;;31,4906;31,491513;50,907703;;70,323893;-70,324692;-140,648585;;
244;31,491513;;31,491513;31,492312;-19,41619;;-70,324692;70,266808;140,5915;;
245;31,492312;;31,492312;31,550196;50,908502;;70,266808;-70,426211;-140,693019;;
246;31,550196;;31,550196;31,709599;-19,358306;;-70,426211;70,39448;140,820691;;
247;31,709599;;31,709599;31,74133;51,067905;;70,39448;-70,571222;-140,965702;;
248;31,74133;;31,74133;31,918072;-19,326575;;-70,571222;70,571221;141,142443;;
249;31,918072;;31,918072;31,918073;51,244647;;70,571221;-70,798843;-141,370064;;
250;31,918073;;31,918073;32,145695;-19,326574;;-70,798843;70,798779;141,597622;;
251;32,145695;;32,145695;32,145759;51,472269;;70,798779;-71,015756;-141,814535;;
252;32,145759;;32,145759;32,362736;-19,32651;;-71,015756;70,823227;141,838983;;
254;32,362736;;32,362736;32,555265;51,689246;;70,823227;-70,823227;-141,646454;;
255;32,555265;;32,555265;32,555265;-19,133981;;-70,823227;70,823135;141,646362;;
256;32,555265;;32,555265;32,555357;51,689246;;70,823135;-70,823253;-141,646388;;
257;32,555357;;32,555357;32,555475;-19,133889;;-70,823253;70,133107;140,95636;;
258;32,555475;;32,555475;33,245621;51,689364;;70,133107;-70,818594;-140,951701;;
265;33,245621;;33,245621;33,931108;-18,443743;;-70,818594;70,818594;141,637188;;
268;33,931108;;33,931108;33,931108;52,374851;;70,818594;-70,818726;-141,63732;;
269;33,931108;;33,931108;33,93124;-18,443743;;-70,818726;70,818468;141,637194;;
270;33,93124;;33,93124;33,931498;52,374983;;70,818468;-71,041037;-141,859505;;
271;33,931498;;33,931498;34,154067;-18,443485;;-71,041037;71,038197;142,079234;;
272;34,154067;;34,154067;34,156907;52,597552;;71,038197;-71,038197;-142,076394;;
273;34,156907;;34,156907;34,156907;-18,440645;;-71,038197;71,038197;142,076394;;
274;34,156907;;34,156907;34,156907;52,597552;;71,038197;-71,038197;-142,076394;;
275;34,156907;;34,156907;34,156907;-18,440645;;-71,038197;71,03809;142,076287;;
276;34,156907;;34,156907;34,157014;52,597552;;71,03809;-71,038844;-142,076934;;
277;34,157014;;34,157014;34,157768;-18,440538;;-71,038844;71,038784;142,077628;;
278;34,157768;;34,157768;34,157828;52,598306;;71,038784;-71,266886;-142,30567;;
279;34,157828;;34,157828;34,38593;-18,440478;;-71,266886;71,243323;142,510209;;
281;34,38593;;34,38593;34,409493;52,826408;;71,243323;-71,243517;-142,48684;;
282;34,409493;;34,409493;34,409687;-18,416915;;-71,243517;71,243463;142,48698;;
283;34,409687;;34,409687;34,409741;52,826602;;71,243463;-71,248867;-142,49233;;
284;34,409741;;34,409741;34,415145;-18,416861;;-71,248867;71,23765;142,486517;;
285;34,415145;;34,415145;34,426362;52,832006;;71,23765;-71,237736;-142,475386;;
286;34,426362;;34,426362;34,426448;-18,405644;;-71,237736;71,232016;142,469752;;
287;34,426448;;34,426448;34,432168;52,832092;;71,232016;-71,232252;-142,464268;;
288;34,432168;;34,432168;34,432404;-18,399924;;-71,232252;71,231751;142,464003;;
289;34,432404;;34,432404;34,432905;52,832328;;71,231751;-71,231881;-142,463632;;
290;34,432905;;34,432905;34,433035;-18,399423;;-71,231881;71,18228;142,414161;;
291;34,433035;;34,433035;34,482636;52,832458;;71,18228;-71,345619;-142,527899;;
292;34,482636;;34,482636;34,645975;-18,349822;;-71,345619;71,283918;142,629537;;
293;34,645975;;34,645975;34,707676;52,995797;;71,283918;-71,289912;-142,57383;;
296;34,707676;;34,707676;34,71367;-18,288121;;-71,289912;71,24701;142,536922;;
298;34,71367;;34,71367;34,756572;53,001791;;71,24701;-71,280784;-142,527794;;
